symbol,date,broker,buy_qty,buy_amount,sell_qty,sell_amount,net_amount,total_turnover,dominance_ratio,dominant_flag,market_phase,strong_accumulation,circular_flag,cluster_flag
ADBL,2024-11-25,54.0,100.0,35100.0,0.0,0.0,35100.0,4265076.9,0.008229628872576717,False,Markdown,False,False,True
ADBL,2024-11-25,56.0,400.0,140800.0,0.0,0.0,140800.0,4265076.9,0.033012300434723696,False,Markdown,False,False,True
ADBL,2024-11-25,57.0,600.0,210900.0,340.0,119680.0,91220.0,4265076.9,0.02138765657425778,False,Markdown,False,False,True
ADBL,2024-11-25,58.0,536.0,188644.6,90.0,31730.0,156914.6,4265076.9,0.036790567597972265,False,Markdown,False,False,True
ADBL,2024-11-25,91.0,0.0,0.0,200.0,70380.0,-70380.0,4265076.9,-0.016501460970141005,False,Markdown,False,False,False
ADBLD83,2024-11-25,7.0,200.0,227000.0,0.0,0.0,227000.0,227000.0,1.0,True,Neutral,False,False,True
ADBLD83,2024-11-25,36.0,0.0,0.0,200.0,227000.0,-227000.0,227000.0,-1.0,True,Neutral,False,False,False
AHL,2024-11-21,6.0,0.0,0.0,60.0,42156.0,-42156.0,1598407.8,-0.026373745173165444,False,Neutral,False,False,False
AHL,2024-11-21,13.0,0.0,0.0,100.0,70270.0,-70270.0,1598407.8,-0.04396249818100237,False,Neutral,False,False,False
AHL,2024-11-21,16.0,200.0,140200.0,0.0,0.0,140200.0,1598407.8,0.08771228468729944,False,Neutral,False,False,True
AHL,2024-11-21,21.0,20.0,14020.0,0.0,0.0,14020.0,1598407.8,0.008771228468729944,False,Neutral,False,False,True
AHL,2024-11-21,28.0,20.0,13972.0,0.0,0.0,13972.0,1598407.8,0.008741198585242138,False,Neutral,False,False,True
AHL,2024-11-21,29.0,0.0,0.0,1522.0,1065511.8,-1065511.8,1598407.8,-0.66660823351838,True,Neutral,False,False,False
AHL,2024-11-21,32.0,50.0,35145.0,0.0,0.0,35145.0,1598407.8,0.021987505316227812,False,Neutral,False,False,True
AHL,2024-11-21,33.0,0.0,0.0,100.0,70290.0,-70290.0,1598407.8,-0.043975010632455624,False,Neutral,False,False,False
AHL,2024-11-21,34.0,290.0,203779.0,0.0,0.0,203779.0,1598407.8,0.12748874223461623,False,Neutral,False,False,True
AHL,2024-11-21,36.0,1000.0,700100.0,0.0,0.0,700100.0,1598407.8,0.43799836312110085,True,Neutral,False,False,True
AHL,2024-11-21,37.0,200.0,139800.0,0.0,0.0,139800.0,1598407.8,0.08746203565823439,False,Neutral,False,False,True
AHL,2024-11-21,39.0,0.0,0.0,200.0,139800.0,-139800.0,1598407.8,-0.08746203565823439,False,Neutral,False,False,False
AHL,2024-11-21,45.0,200.0,140000.0,0.0,0.0,140000.0,1598407.8,0.08758716017276692,False,Neutral,False,False,True
AHL,2024-11-21,55.0,20.0,14000.0,0.0,0.0,14000.0,1598407.8,0.008758716017276692,False,Neutral,False,False,True
AHL,2024-11-21,57.0,0.0,0.0,200.0,140200.0,-140200.0,1598407.8,-0.08771228468729944,False,Neutral,False,False,False
AHL,2024-11-21,58.0,0.0,0.0,20.0,13972.0,-13972.0,1598407.8,-0.008741198585242138,False,Neutral,False,False,True
AHL,2024-11-21,62.0,200.0,140000.0,0.0,0.0,140000.0,1598407.8,0.08758716017276692,False,Neutral,False,False,True
AHL,2024-11-21,63.0,82.0,57391.8,0.0,0.0,57391.8,1598407.8,0.03590560556573861,False,Neutral,False,False,True
AHL,2024-11-21,86.0,0.0,0.0,80.0,56208.0,-56208.0,1598407.8,-0.03516499356422059,False,Neutral,False,False,False
AHL,2024-11-25,1.0,0.0,0.0,80.0,55600.0,-55600.0,1952433.0,-0.028477289617620683,False,Markdown,False,False,False
AHL,2024-11-25,7.0,0.0,0.0,10.0,6983.0,-6983.0,1952433.0,-0.003576563190644698,False,Markdown,False,False,False
AHL,2024-11-25,11.0,66.0,46200.0,0.0,0.0,46200.0,1952433.0,0.023662783818958193,False,Markdown,False,False,True
AHL,2024-11-25,22.0,0.0,0.0,26.0,18226.0,-18226.0,1952433.0,-0.0093350194347258,False,Markdown,False,False,False
AHL,2024-11-25,25.0,80.0,55824.0,0.0,0.0,55824.0,1952433.0,0.028592018266439874,False,Markdown,False,False,True
AHL,2024-11-25,28.0,200.0,139520.0,0.0,0.0,139520.0,1952433.0,0.07145955840738197,False,Markdown,False,False,True
AHL,2024-11-25,34.0,300.0,209620.0,1040.0,725600.0,-515980.0,1952433.0,-0.26427539382913523,True,Markdown,False,True,True
AHL,2024-11-25,38.0,30.0,20921.0,0.0,0.0,20921.0,1952433.0,0.010715348490831696,False,Markdown,False,False,True
AHL,2024-11-25,42.0,600.0,418422.0,0.0,0.0,418422.0,1952433.0,0.2143079941795698,False,Markdown,False,False,True
AHL,2024-11-25,43.0,0.0,0.0,280.0,194600.0,-194600.0,1952433.0,-0.09967051366167239,False,Markdown,False,False,False
AHL,2024-11-25,45.0,0.0,0.0,200.0,139380.0,-139380.0,1952433.0,-0.07138785300186998,False,Markdown,False,False,True
AHL,2024-11-25,55.0,0.0,0.0,20.0,14020.0,-14020.0,1952433.0,-0.007180784180558309,False,Markdown,False,False,True
AHL,2024-11-25,56.0,26.0,18226.0,0.0,0.0,18226.0,1952433.0,0.0093350194347258,False,Markdown,False,False,True
AHL,2024-11-25,57.0,0.0,0.0,80.0,55880.0,-55880.0,1952433.0,-0.02862070042864467,False,Markdown,False,False,False
AHL,2024-11-25,58.0,1300.0,904500.0,1000.0,695944.0,208556.0,1952433.0,0.10681851822828235,False,Markdown,False,True,True
AHL,2024-11-25,65.0,200.0,139200.0,0.0,0.0,139200.0,1952433.0,0.07129566033764027,False,Markdown,False,False,True
AHL,2024-11-25,70.0,0.0,0.0,66.0,46200.0,-46200.0,1952433.0,-0.023662783818958193,False,Markdown,False,False,False
