symbol,total_quantity,total_amount,avg_rate,num_trades
GMFBS,5360,9634204.6,1797.4256637168141,113
AHL,13678,9552255.8,699.0296296296297,162
NMFBS,6118,9439405.0,1544.7905982905984,117
DORDI,19962,9431637.3,472.720796460177,226
WNLB,3729,9113777.0,2442.099090909091,110
DDBL,10087,9099109.6,901.4695652173914,161
NMLBBL,12182,8806712.1,722.3371584699454,183
FOWAD,5845,8780779.9,1503.5714285714287,98
SICL,9729,8190570.0,841.5693877551021,98
CHL,20092,7587757.1,377.3890625,128
KPCL,14233,7538220.6,528.5443181818182,88
TRH,6437,7316337.5,1137.0021052631578,95
NWCL,6884,7135096.0,1035.249418604651,172
NIL,7725,7058548.4,913.8811111111112,90
RHGCL,15668,7030061.2,447.6800925925926,216
NICLBSL,9681,6913013.2,711.6094059405941,202
ACLBSL,6070,6843956.3,1127.932456140351,114
SPHL,8559,6504937.6,763.642962962963,135
EHPL,8177,6435630.2,787.7398496240601,133
SGHC,14402,6390101.4,442.33597883597884,189
MHL,8005,6185279.2,772.0701388888889,144
DHPL,23452,6154938.4,262.79860139860136,143
ALBSL,7045,6094268.0,864.7408284023669,169
HEIP,12088,6061442.2,499.36716417910446,67
PPCL,21113,5659980.6,268.461797752809,89
BHL,14854,5547884.6,373.65765306122444,196
RURU,7500,5502749.0,732.4355140186916,107
RBCLPO,440,5411000.0,12375.147826086957,23
ULBSL,1740,5371017.2,3099.3425925925926,54
PPL,10492,5341281.8,510.5587677725118,211
KKHC,18442,5304381.8,288.4511811023622,127
KMCDB,4496,5039097.9,1119.8545454545456,77
SWMF,6062,4972400.9,821.8735042735043,117
PMLI,8757,4888367.4,557.8393013100437,229
KDL,4329,4680843.4,1082.5902985074626,134
MHNL,16428,4446771.4,270.4758241758242,91
BPCL,8912,3950478.8,443.64838709677423,124
PSF,333280,3491137.6,10.444285714285714,70
SWBBL,3832,3439685.2,898.1626506024096,83
SAMAJ,917,3339540.7,3636.8846153846152,65
UNL,70,3287490.0,46964.142857142855,7
BNT,230,3223842.0,13998.115789473684,19
PRIN,3306,3207518.0,970.5743243243244,74
ENL,2704,3159925.0,1168.4807017543858,57
NYADI,9492,3149381.8,331.7129807692308,208
MERO,3961,3039728.7,767.7774193548387,62
PMHPL,10913,3010968.2,276.64270833333336,96
LLBS,2560,2936338.0,1145.2,40
OHL,2942,2733529.0,930.0277777777778,72
KBLPO,27334,2733400.0,100.0,2
KBSH,1074,2707290.0,2522.5829787234043,47
SMATA,2577,2340162.6,908.0323529411764,68
MATRI,1566,2162919.3,1381.168656716418,67
BNL,120,1969280.0,16433.0,4
NMBMF,2138,1607941.6,752.6238095238095,42
NBF3,160201,1513829.29,9.4332,75
NIMBPO,8454,1457499.0,174.07272727272726,22
SIGS3,140620,1387188.4,9.921428571428573,14
SEF,134566,1334406.0,9.86111111111111,27
SBCF,127380,1248127.0,9.742857142857144,14
SFMF,110610,1147569.6,10.365263157894736,19
CMF1,100680,1096155.9,10.774814814814816,27
SAEF,87640,978338.4,11.154117647058824,34
SDBD87,740,786932.0,1068.1894736842105,19
RMF1,77200,727974.0,9.449473684210526,19
BBC,152,635372.2,4182.018181818182,11
NMB50,52100,549129.0,10.553478260869564,23
NBF2,54800,524960.16,9.576666666666666,39
NICGF,44490,484294.9,10.795454545454545,11
SLCF,42620,414873.2,9.7085,20
ICFCD83,300,387819.0,1291.595,4
NICSF,38400,374986.0,9.72111111111111,18
SAGF,30800,313708.0,10.13888888888889,18
GBILD86/87,300,310600.0,1032.0,4
SBD87,300,309600.0,1032.0,3
SBID83,260,293396.0,1123.3,6
SRBLD83,252,276264.0,1091.0,4
NBLD85,240,248250.0,1034.857142857143,7
ADBLD83,200,227000.0,1135.0,2
PBLD84,175,193900.0,1105.75,4
LUK,19590,192678.6,9.784285714285714,7
CMF2,19800,189748.0,9.586666666666666,12
KEF,16158,152122.34,9.309999999999999,20
SIGS2,14000,137900.0,9.85,6
CCBD88,114,126333.4,1113.325,8
NIBLGF,13600,123582.0,9.01375,16
NICGF2,12720,116141.9,9.074666666666667,30
EBLD85,100,113900.0,1139.0,2
NMBD2085,100,112400.0,1124.0,4
H8020,11000,111823.0,10.088333333333333,12
SBLD2082,100,107500.0,1075.0,4
PBD85,100,107000.0,1070.0,2
NIBLSTF,11320,103126.59999999999,8.984444444444444,18
KSY,10500,99407.0,9.430000000000001,7
MMF1,10820,96655.4,8.935483870967742,31
NIBSF2,9020,79099.6,8.781153846153845,26
GBBD85,75,77550.0,1034.0,3
KSBBLD87,70,75824.0,1083.2,2
KDBY,7600,71994.0,9.4475,24
NBLD82,50,58600.0,1172.0,2
PBD88,50,55600.0,1112.0,2
NABILD87,50,52750.0,1055.0,2
NICD88,50,51500.0,1030.0,2
BOKD86,50,51000.0,1020.0,2
NIFRAUR85/86,45,44752.5,994.5,4
NSIF2,3960,42050.1,10.59909090909091,11
GIBF1,4100,39969.0,9.746,15
LVF2,3000,27972.0,9.323333333333332,9
SAND2085,25,26902.5,1076.1,1
EBLD86,25,25950.0,1038.0,1
MFLD85,20,21720.0,1086.0,2
PRSF,1900,19512.0,10.273333333333333,9
NICFC,2000,18938.0,9.477142857142857,14
SFEF,1400,13484.0,9.540000000000001,6
RMF2,1000,9600.0,9.6,4
C30MF,500,4689.0,9.395,4
NICBF,200,2040.0,10.2,2
