symbol,trade_count,total_quantity,total_value,avg_rate,vwap
CZBIL,281.0,64226.0,14679427.3,228.47544483985766,228.55895276056427
DDBL,161.0,10087.0,9099109.6,901.4695652173914,902.063011797363
DHPL,143.0,23452.0,6154938.4,262.79860139860136,262.4483370288248
DLBS,160.0,5778.0,9770002.4,1695.0987499999999,1690.8969193492558
DOLTI,214.0,23778.0,13904887.5,585.264953271028,584.7795230885692
DORDI,226.0,19962.0,9431637.3,472.72079646017704,472.4795761947701
EBL,194.0,51130.0,30949476.9,605.3314432989691,605.3095423430472
EBLD85,2.0,100.0,113900.0,1139.0,1139.0
EBLD86,1.0,25.0,25950.0,1038.0,1038.0
EDBL,386.0,86024.0,55327492.6,643.0854922279793,643.1634497349577
EHPL,133.0,8177.0,6435630.199999999,787.7398496240602,787.0405038522684
ENL,57.0,2704.0,3159925.0,1168.4807017543858,1168.6113165680474
FMDBL,148.0,15108.0,11759745.2,778.3013513513514,778.3786867884564
FOWAD,98.0,5845.0,8780779.899999999,1503.5714285714287,1502.2720102651836
GBBD85,3.0,75.0,77550.0,1034.0,1034.0
GBBL,226.0,36303.0,16395663.700000001,451.4513274336283,451.6338511968708
GBILD86/87,4.0,300.0,310600.0,1032.0,1035.3333333333333
GBIME,954.0,172664.0,41945966.8,241.25545073375264,242.93406152990778
GBLBS,168.0,19399.0,16143197.8,826.8249999999998,832.166493118202
GCIL,745.0,44454.0,21436539.8,482.4587919463088,482.2184685292662
GFCL,522.0,44074.0,42075522.3,955.8302681992337,954.6563121114489
GHL,365.0,128975.0,28445981.1,220.92739726027398,220.55422446210508
GIBF1,15.0,4100.0,39969.0,9.746000000000002,9.748536585365853
GILB,143.0,12579.0,16970395.0,1348.1454545454546,1349.1052547897289
GLBSL,205.0,8145.0,19746986.0,2432.616097560975,2424.430448127686
GLH,465.0,118007.0,29674932.0,251.54967741935482,251.46755700932997
GMFBS,113.0,5360.0,9634204.6,1797.425663716814,1797.4262313432835
GMFIL,330.0,51488.0,34351911.900000006,668.1378787878788,667.1828756215042
GRDBL,252.0,37921.0,34943978.4,923.0384920634921,921.4941167163313
GUFL,274.0,40859.0,30980850.9,757.8051094890511,758.2381091069286
GVL,230.0,23690.0,13142260.4,555.1926086956521,554.759831152385
H8020,12.0,11000.0,111823.0,10.088333333333333,10.165727272727272
HATHY,788.0,72376.0,108582184.6,1498.6087563451777,1500.2512517961754
HBL,248.0,72458.0,18294620.200000003,252.34274193548387,252.4858566341881
HDHPC,641.0,157578.0,33089688.2,209.79453978159128,209.98926372970845
HDL,842.0,42255.0,55438271.0,1311.653325415677,1311.9931605727134
HEI,155.0,23233.0,15403471.4,663.5470967741935,662.9996728790944
HEIP,67.0,12088.0,6061442.2,499.36716417910446,501.4429351422899
HHL,388.0,58495.0,28828377.0,493.2046391752578,492.83489187110007
HIDCL,641.0,168087.0,44127632.4,262.10436817472697,262.52852629888093
HIDCLP,640.0,458749.0,80771917.6,175.888125,176.06995895358898
HLBSL,168.0,12354.0,12595150.700000001,1021.9047619047619,1019.5200501861746
HLI,574.0,82623.0,39150703.2,473.5245644599303,473.84751461457466
HLIPO,4.0,150000.0,37057000.0,250.75,247.04666666666665
HPPL,355.0,73893.0,29287248.599999998,396.82056338028167,396.3467256709025
HRL,1968.0,151737.0,129183293.5,851.614075203252,851.3631711448098
HURJA,1656.0,575018.0,140452429.7,244.20030193236715,244.2574488102981
ICFC,475.0,75519.0,57393152.3,761.0414736842106,759.9829486619261
ICFCD83,4.0,300.0,387819.0,1291.595,1292.73
IGI,326.0,45612.0,27864925.599999998,611.0518404907975,610.9121634657546
IHL,350.0,65762.0,40139279.8,612.3448571428572,610.371944283933
ILBS,87.0,9199.0,9741477.9,1058.603448275862,1058.9713990651157
ILI,873.0,44759.0,21900556.3,489.17617411225666,489.29949954199157
JBBL,447.0,94111.0,35727173.800000004,379.6219239373602,379.62803285482045
JBLB,330.0,16034.0,26642818.1,1661.0312121212123,1661.6451353374082
JFL,1695.0,545578.0,513237007.4,949.7338053097345,940.7215969118989
JOSHI,195.0,43901.0,14564843.1,332.6128205128205,331.76563404022687
JSLBB,145.0,9829.0,15869840.4,1621.0903448275863,1614.5935903957677
KBL,848.0,232519.0,51278521.8,220.49846698113208,220.53475974006423
KBLPO,2.0,27334.0,2733400.0,100.0,100.0
KBSH,47.0,1074.0,2707290.0,2522.5829787234043,2520.754189944134
KDBY,24.0,7600.0,71994.0,9.4475,9.472894736842106
KDL,134.0,4329.0,4680843.4,1082.5902985074624,1081.2759066759068
KEF,20.0,16158.0,152122.34,9.309999999999999,9.414676321326896
KKHC,127.0,18442.0,5304381.800000001,288.4511811023623,287.6250840472834
KMCDB,77.0,4496.0,5039097.899999999,1119.8545454545456,1120.795796263345
KPCL,88.0,14233.0,7538220.6,528.5443181818182,529.6297758729712
KRBL,990.0,175199.0,142804292.6,815.7296969696971,815.0976466760654
KSBBL,137.0,25044.0,11581027.0,462.97737226277377,462.42720811371987
KSBBLD87,2.0,70.0,75824.0,1083.2,1083.2
KSY,7.0,10500.0,99407.0,9.430000000000001,9.467333333333332
LBBL,173.0,29026.0,14416640.9,497.16184971098266,496.6802487425067
LEC,375.0,63353.0,13977820.2,220.99999999999997,220.63391157482675
LICN,151.0,18564.0,22122414.4,1186.9384105960264,1191.683602671838
LLBS,40.0,2560.0,2936338.0,1145.2,1147.00703125
LSL,349.0,141135.0,35408207.5,250.58137535816618,250.88183299677613
LUK,7.0,19590.0,192678.6,9.784285714285714,9.835558958652374
LVF2,9.0,3000.0,27972.0,9.323333333333332,9.324
MAKAR,288.0,56224.0,37184465.8,664.3541666666666,661.3628663915765
MANDU,241.0,13825.0,13680125.0,990.083817427386,989.5207956600361
MATRI,67.0,1566.0,2162919.3,1381.168656716418,1381.1745210727968
MBJC,2062.0,272939.0,105621155.3,387.02647914645974,386.97714617551907
MBL,260.0,82393.0,21466659.5,260.4492307692307,260.539845617953
MCHL,274.0,42248.0,25697356.4,612.406204379562,608.2502461654989
MDB,669.0,121668.0,84313459.1,692.5980568011959,692.9797407699641
MEHL,422.0,48786.0,20788293.299999997,425.3637440758294,426.11186200959287
MEL,570.0,39842.0,12219610.2,306.98350877192985,306.7017268209427
MEN,507.0,151203.0,111207285.4,735.3552268244575,735.4833263890267
