symbol,date,total_score,avg_dominance,avg_price,weighted_rolling_price,weighted_expanding_price,next_day_price,next_day_return
NADEP,2024-11-25,30,-3.96508223080413e-18,987.4615384615385,988.1523439805923,998.5190831359139,,
NBF2,2024-11-21,8,1.1564823173178713e-18,9.642727272727273,9.630715766940934,9.630303690163881,9.559999999999999,-0.00857924012444624
NBF2,2024-11-25,5,0.0,9.559999999999999,9.587,9.57954548614191,,
NBF3,2024-11-21,16,7.124757133476172e-19,9.472142857142858,9.47231831873768,9.473309417270192,9.362857142857141,-0.011537591433527132
NBF3,2024-11-25,9,0.0,9.362857142857141,9.367242041139287,9.451150720268492,,
NBL,2024-11-21,37,1.8101462358018856e-18,279.24313725490197,279.4188178560561,280.4181892161696,279.5831325301205,0.0012175600036615506
NBL,2024-11-25,40,-6.938893903907229e-19,279.5831325301205,279.6418041986868,279.2379174173348,,
NBLD85,2024-11-25,5,-1.6653345369377347e-17,1034.857142857143,1036.219570665795,1036.437925170068,,
NESDO,2024-11-21,30,-2.3129646346357427e-18,2417.5955555555556,2417.7601485459336,2422.90198199344,2327.842857142857,-0.03712477804918597
NESDO,2024-11-25,32,0.0,2327.842857142857,2333.798400239809,2383.8922412798324,,
NFS,2024-11-21,50,8.953411488912552e-19,1462.3909090909092,1462.5258892077863,1463.4126618358478,1439.5328273244784,-0.01563062353870927
NFS,2024-11-25,130,-3.043374519257556e-19,1439.5328273244784,1439.6204618397671,1432.6936771480025,,
NGPL,2024-11-21,84,-5.2887910852951435e-20,507.2427419354839,507.232931849966,508.0047876424686,497.2081477139507,-0.01978262751132564
NGPL,2024-11-25,230,1.0625181290357944e-18,497.2081477139507,497.1931587995271,500.7797424476706,,
NHDL,2024-11-21,19,-9.607699251563854e-18,702.6875,702.098697712019,701.6790720897958,699.8860759493671,-0.003986728169538993
NHDL,2024-11-25,33,2.2959575417340093e-18,699.8860759493671,699.7468660854237,693.211283533058,,
NHPC,2024-11-21,56,-1.119176436114069e-19,223.59859154929578,223.51293716398723,222.96763263017246,221.968,-0.007292494724575657
NHPC,2024-11-25,75,-1.129587379705828e-18,221.968,221.98235718514763,220.99999906418168,,
NIBLGF,2024-11-25,5,1.3877787807814457e-17,8.979999999999999,9.076403392955928,9.100454426137288,,
NIBLSTF,2024-11-21,5,0.0,9.175,9.179914834795033,9.179914834795033,9.05,-0.013623978201634876
NIBLSTF,2024-11-25,4,0.0,9.05,9.078620283018868,9.111386829219686,,
NIBSF2,2024-11-21,3,0.0,8.8,8.8,8.8,8.776666666666667,-0.002651515151515162
NIBSF2,2024-11-25,5,-8.326672684688674e-18,8.776666666666667,8.749739437747316,8.77011152209966,,
NICA,2024-11-21,64,1.3877787807814458e-18,427.3058823529412,427.19008399885206,427.3721254021324,424.51279620853086,-0.006536502912223715
NICA,2024-11-25,98,0.0,424.51279620853086,424.5240463170675,424.3945238849617,,
NICBF,2024-11-25,3,0.0,10.2,10.2,10.2,,
NICFC,2024-11-21,3,0.0,9.51,9.51,9.51,9.4,-0.01156677181913769
NICFC,2024-11-25,3,0.0,9.4,9.443181818181817,9.470815789473683,,
NICGF,2024-11-21,5,0.0,10.886,10.969348271980657,10.969348271980657,,
NICGF2,2024-11-25,5,0.0,9.20857142857143,9.17305582838922,9.111609631978057,,
NICL,2024-11-21,17,-2.3129646346357427e-18,969.25,968.923465275257,968.6920883084025,978.6272727272727,0.009674771965202708
NICL,2024-11-25,20,5.9476233462061954e-18,978.6272727272727,978.6663008718541,972.0176538195046,,
NICLBSL,2024-11-21,30,-1.261617073437678e-18,719.814705882353,719.7844666566884,720.2906745570019,708.4755555555555,-0.015752873946772036
NICLBSL,2024-11-25,26,2.3418766925686897e-18,708.4755555555555,708.7667397681003,714.3355194722445,,
NICSF,2024-11-21,7,1.769417945496343e-17,9.822,9.812164527140478,9.811779064952933,9.616666666666667,-0.02090545034955529
NICSF,2024-11-25,3,0.0,9.616666666666667,9.621824689472872,9.779542122291469,,
NIFRA,2024-11-21,64,-1.3537875775359541e-18,268.5078431372549,268.49994135349056,268.64431855179816,268.90568181818185,0.0014816650280252204
NIFRA,2024-11-25,114,-1.0106313107811309e-18,268.90568181818185,268.97683741576776,267.70898376506284,,
NIL,2024-11-21,24,0.0,919.7380952380952,919.2429803837929,918.8731574778354,915.3333333333334,-0.004789148049392843
NIL,2024-11-25,15,0.0,915.3333333333334,914.9023343338829,913.6558306828961,,
NIMB,2024-11-21,64,1.3430117233368829e-18,229.98932038834954,230.06527338748734,230.086170281373,228.2537444933921,-0.00754633255155857
NIMB,2024-11-25,90,-5.664403186863043e-19,228.2537444933921,228.31886795782364,228.7505701394023,,
NIMBPO,2024-11-21,5,0.0,170.96666666666667,170.9888888888889,170.9888888888889,176.0076923076923,0.029485429758387447
NIMBPO,2024-11-25,7,0.0,176.0076923076923,175.1693790796056,171.75525960412142,,
NLG,2024-11-21,44,-2.7755575615628914e-19,883.2454545454545,882.9271365287614,881.73722449087,936.9492822966507,0.060802835129034234
NLG,2024-11-25,81,-2.640634624542473e-18,936.9492822966507,936.2585749186987,901.6216418624213,,
NLIC,2024-11-21,32,-9.912705577010326e-19,823.1000000000001,823.0731725577995,822.0405824737136,822.3704761904761,-0.0008863124887912029
NLIC,2024-11-25,72,-3.750753461571475e-19,822.3704761904761,822.4257615856872,821.0212260911305,,
NLICL,2024-11-21,35,1.8924256101565167e-18,606.0,605.7515162292876,604.1271194791365,606.05,8.250825082500747e-05
NLICL,2024-11-25,28,-1.734723475976807e-18,606.05,605.1259372712987,602.1799581847429,,
NMB,2024-11-21,19,-3.96508223080413e-18,256.8074074074074,256.7666763234666,256.93674542189086,256.07922077922075,-0.0028355359198477424
NMB,2024-11-25,28,8.374527125405276e-19,256.07922077922075,256.081314409069,254.1850247827304,,
NMB50,2024-11-21,7,1.3877787807814457e-17,10.653333333333334,10.614240811641258,10.610487466413781,10.524999999999999,-0.012046307884856285
NMB50,2024-11-25,5,0.0,10.524999999999999,10.537033717323755,10.540056640189679,,
NMBD2085,2024-11-25,3,0.0,1113.0,1125.8333333333335,1125.8333333333335,,
NMBMF,2024-11-21,14,-2.523234146875356e-18,757.3176470588235,756.7675471521808,756.1919724329141,743.7,-0.017981420493382076
